sample.id,input_handle,input_size,transcription
0421.120315.070620.0075,/0421.120315.070620.0075.wav,1391.3,security bank
0421.120315.070620.0076,/0421.120315.070620.0076.wav,2041.37,philippine dealing exchange
0421.120315.070620.0077,/0421.120315.070620.0077.wav,2170.12,dmci holdings
0421.120315.070620.0078,/0421.120315.070620.0078.wav,3549.8,international container terminal services inc.
0421.120315.070620.0079,/0421.120315.070620.0079.wav,869.55,ayala
0421.120315.070620.0080,/0421.120315.070620.0080.wav,3678.3,international container terminal services inc.
0421.120315.070620.0081,/0421.120315.070620.0081.wav,1339.01,manila bulletin
0421.120315.070620.0082,/0421.120315.070620.0082.wav,1991.93,dmci holdings
0421.120315.070620.0083,/0421.120315.070620.0083.wav,2382.18,philippine bank of communications
0421.120315.070620.0084,/0421.120315.070620.0084.wav,1972.68,philippine dealing exchange
0421.120315.070620.0085,/0421.120315.070620.0085.wav,1869.82,gma artist center
0421.120315.070620.0086,/0421.120315.070620.0086.wav,1393.52,security bank
0421.120315.070620.0087,/0421.120315.070620.0087.wav,2090.41,jg summit holdings
0421.120315.070620.0088,/0421.120315.070620.0088.wav,1138.49,pldt
0421.120315.070620.0089,/0421.120315.070620.0089.wav,1613.93,megaworld corporation
0421.120315.070620.0090,/0421.120315.070620.0090.wav,1002.79,meralco
0421.120315.070620.0092,/0421.120315.070620.0092.wav,3498.15,international container terminal services inc.
0421.120315.070620.0093,/0421.120315.070620.0093.wav,2280.84,pse composite index
0421.120315.070620.0094,/0421.120315.070620.0094.wav,2634.65,metro pacific investments corporation
0421.120315.070620.0096,/0421.120315.070620.0096.wav,2342.86,centro escolar university
0421.120315.070620.0097,/0421.120315.070620.0097.wav,2283.72,first philippine holdings corporation
0421.120315.070620.0099,/0421.120315.070620.0099.wav,1570.05,keseyo nga puti
0421.120315.070620.0100,/0421.120315.070620.0100.wav,1215.99,gipabukalan
0421.120315.070620.0101,/0421.120315.070620.0101.wav,707.81,hopya
0421.120315.070620.0102,/0421.120315.070620.0102.wav,1210.93,pinalag-tob
0421.120315.070620.0105,/0421.120315.070620.0105.wav,1205.45,hinipunan
0421.120315.070620.0106,/0421.120315.070620.0106.wav,1171.41,sampurado
0421.120315.070620.0107,/0421.120315.070620.0107.wav,1045.08,linugaw
0421.120315.070620.0108,/0421.120315.070620.0108.wav,1021.0,embutido
0421.120315.070620.0109,/0421.120315.070620.0109.wav,970.28,kutsinta
0421.120315.070620.0110,/0421.120315.070620.0110.wav,1019.46,bangus
0421.120315.070620.0111,/0421.120315.070620.0111.wav,918.05,gisado
0421.120315.070620.0112,/0421.120315.070620.0112.wav,1140.87,sinangag
0421.120315.070620.0113,/0421.120315.070620.0113.wav,1054.59,balbacoa
0421.120315.070620.0114,/0421.120315.070620.0114.wav,1087.99,gitorta
0421.120315.070620.0115,/0421.120315.070620.0115.wav,985.88,gigisa
0421.120315.070620.0116,/0421.120315.070620.0116.wav,1131.64,sinangag
0421.120315.070620.0117,/0421.120315.070620.0117.wav,1407.9,la paz batchoy
0421.120315.070620.0118,/0421.120315.070620.0118.wav,1353.18,gipatam-is
0421.120315.070620.0119,/0421.120315.070620.0119.wav,1058.49,pinirito
0421.120315.070620.0120,/0421.120315.070620.0120.wav,897.56,kan-un
0421.120315.070620.0121,/0421.120315.070620.0121.wav,979.73,pochero
0421.120315.070620.0124,/0421.120315.070620.0124.wav,795.9,tapa
0421.120315.070620.0126,/0421.120315.070620.0126.wav,1083.07,lab-as
0421.120315.070620.0127,/0421.120315.070620.0127.wav,1044.77,haliya
0421.120315.070620.0128,/0421.120315.070620.0128.wav,981.71,gibulad
0421.120315.070620.0129,/0421.120315.070620.0129.wav,1176.15,sinangag
0421.120315.070620.0130,/0421.120315.070620.0130.wav,1439.57,tokwa ug baboy
0421.120315.070620.0131,/0421.120315.070620.0131.wav,2262.82,intercontinental manila hotel
0421.120315.070620.0132,/0421.120315.070620.0132.wav,2403.22,maribago bluewater beach resort
0421.120315.070620.0133,/0421.120315.070620.0133.wav,1786.74,alpa city suites
0421.120315.070620.0134,/0421.120315.070620.0134.wav,1349.51,atrium hotel
0421.120315.070620.0135,/0421.120315.070620.0135.wav,1258.4,days hotel
0421.120315.070620.0136,/0421.120315.070620.0136.wav,1201.39,manila hotel
0421.120315.070620.0137,/0421.120315.070620.0137.wav,1683.75,discovery suites
0421.120315.070620.0138,/0421.120315.070620.0138.wav,1629.19,linden suites hotel
0421.120315.070620.0139,/0421.120315.070620.0139.wav,1330.48,diamond hotel
0421.120315.070620.0140,/0421.120315.070620.0140.wav,3166.72,crimson beach resort and spa mactan island
0421.120315.070620.0141,/0421.120315.070620.0141.wav,2689.28,the orchard cebu hotel and suites
0421.120315.070620.0142,/0421.120315.070620.0142.wav,1448.33,pearl lane hotel
0421.120315.070620.0143,/0421.120315.070620.0143.wav,1338.05,diamond hotel
0421.120315.070620.0144,/0421.120315.070620.0144.wav,1516.6,boracay hills resort
0421.120315.070620.0145,/0421.120315.070620.0145.wav,2125.56,somerset salcedo makati
0421.120315.070620.0146,/0421.120315.070620.0146.wav,1818.21,makati shangri-la hotel
0421.120315.070620.0147,/0421.120315.070620.0147.wav,1890.78,executive plaza hotel
0421.120315.070620.0148,/0421.120315.070620.0148.wav,829.76,kadula
0421.120315.070620.0149,/0421.120315.070620.0149.wav,923.43,kaklase
0421.120315.070620.0150,/0421.120315.070620.0150.wav,1215.2,silingan
0421.120315.070620.0151,/0421.120315.070620.0151.wav,922.09,manang
0421.120315.070620.0152,/0421.120315.070620.0152.wav,987.62,amahan
0421.120315.070620.0153,/0421.120315.070620.0153.wav,853.2,lolo
0421.120315.070620.0154,/0421.120315.070620.0154.wav,851.23,manong
0421.120315.070620.0155,/0421.120315.070620.0155.wav,859.23,kaluha
0421.120315.070620.0156,/0421.120315.070620.0156.wav,1239.71,kinugos
0421.120315.070620.0157,/0421.120315.070620.0157.wav,1117.85,kamanghuran
0421.120315.070620.0158,/0421.120315.070620.0158.wav,909.62,manay
0421.120315.070620.0159,/0421.120315.070620.0159.wav,1205.27,pag-umangkon
0421.120315.070620.0160,/0421.120315.070620.0160.wav,1728.42,isigkakasingkasing
0421.120315.070620.0161,/0421.120315.070620.0161.wav,862.09,anak
0421.120315.070620.0162,/0421.120315.070620.0162.wav,974.13,kaklase
0421.120315.070620.0163,/0421.120315.070620.0163.wav,914.61,kaluha
0421.120315.070620.0164,/0421.120315.070620.0164.wav,1125.56,gikauban
0421.120315.070620.0165,/0421.120315.070620.0165.wav,1584.45,silliman university
0421.120315.070620.0166,/0421.120315.070620.0166.wav,1753.84,emilio aguinaldo shrine
0421.120315.070620.0167,/0421.120315.070620.0167.wav,990.71,tubbataha
0421.120315.070620.0168,/0421.120315.070620.0168.wav,1338.69,hinulugang taktak
0421.120315.070620.0169,/0421.120315.070620.0169.wav,2026.24,university of the philippines
0421.120315.070620.0170,/0421.120315.070620.0170.wav,1810.03,anilao dive spots
0421.120315.070620.0171,/0421.120315.070620.0171.wav,1669.87,isla ng corregidor
0421.120315.070620.0172,/0421.120315.070620.0172.wav,1212.18,up diliman
0421.120315.070620.0173,/0421.120315.070620.0173.wav,2099.85,simbahan ng santo tomas
0421.120315.070620.0174,/0421.120315.070620.0174.wav,927.94,dilao
0421.120315.070620.0175,/0421.120315.070620.0175.wav,1565.38,robinsons galleria
0421.120315.070620.0177,/0421.120315.070620.0177.wav,1810.5,monumento ni magellan
0421.120315.070620.0178,/0421.120315.070620.0178.wav,1642.02,pinaglabanan shrine
0421.120315.070620.0179,/0421.120315.070620.0179.wav,1630.82,lake caliraya
0421.120315.070620.0180,/0421.120315.070620.0180.wav,1497.62,isla ng siargao
0421.120315.070620.0181,/0421.120315.070620.0181.wav,1207.28,ayala center
0421.120315.070620.0182,/0421.120315.070620.0182.wav,966.49,greenbelt
0421.120315.070620.0183,/0421.120315.070620.0183.wav,2070.48,powerplant rockwell mall
0421.120315.070620.0184,/0421.120315.070620.0184.wav,2561.46, wala   wala  
0421.120315.070620.0186,/0421.120315.070620.0186.wav,2510.3, taas   taas  
0421.120315.070620.0187,/0421.120315.070620.0187.wav,2592.73, sala   sala  
0421.120315.070620.0188,/0421.120315.070620.0188.wav,2340.14, baga   baga  
0421.120315.070620.0189,/0421.120315.070620.0189.wav,2521.18, uban   uban  
0421.120315.070620.0190,/0421.120315.070620.0190.wav,2155.76, wala   wala  
0421.120315.070620.0191,/0421.120315.070620.0191.wav,2518.33, sapot   sapot  
0421.120315.070620.0192,/0421.120315.070620.0192.wav,2810.96, adlaw   adlaw  
0421.120315.070620.0193,/0421.120315.070620.0193.wav,2110.71, tubo   tubo  
0421.120315.070620.0194,/0421.120315.070620.0194.wav,2490.82, tudlo   tudlo  
0421.120315.070620.0195,/0421.120315.070620.0195.wav,2551.07, tungod   tungod  
0421.120315.070620.0196,/0421.120315.070620.0196.wav,2239.98, igo   igo  
0421.120315.070620.0197,/0421.120315.070620.0197.wav,2351.16, baga   baga  
0421.120315.070620.0198,/0421.120315.070620.0198.wav,2610.87, taas   taas  
0421.120315.070620.0199,/0421.120315.070620.0199.wav,851.52,joy
0421.120315.070620.0200,/0421.120315.070620.0200.wav,812.84,nina
0421.120315.070620.0201,/0421.120315.070620.0201.wav,1005.86,irene
0421.120315.070620.0202,/0421.120315.070620.0202.wav,979.76,erine
0421.120315.070620.0203,/0421.120315.070620.0203.wav,1067.85,victoria
0421.120315.070620.0204,/0421.120315.070620.0204.wav,948.53,katrina
0421.120315.070620.0205,/0421.120315.070620.0205.wav,919.87,mitch
0421.120315.070620.0206,/0421.120315.070620.0206.wav,1071.82,doreen
0421.120315.070620.0207,/0421.120315.070620.0207.wav,966.74,yvonne
0421.120315.070620.0208,/0421.120315.070620.0208.wav,932.68,melanie
0421.120315.070620.0209,/0421.120315.070620.0209.wav,879.48,stella
0421.120315.070620.0210,/0421.120315.070620.0210.wav,973.7,eliza
0421.120315.070620.0211,/0421.120315.070620.0211.wav,945.61,michelle
0421.120315.070620.0212,/0421.120315.070620.0212.wav,900.59,rosie
0421.120315.070620.0213,/0421.120315.070620.0213.wav,1126.01,janice
0421.120315.070620.0214,/0421.120315.070620.0214.wav,866.38,michelle
0421.120315.070620.0215,/0421.120315.070620.0215.wav,883.7,rowena
0421.120315.070620.0216,/0421.120315.070620.0216.wav,868.89,karen
0421.120315.070620.0217,/0421.120315.070620.0217.wav,1117.49,janice
0421.120315.070620.0218,/0421.120315.070620.0218.wav,971.57,angel
0421.120315.070620.0219,/0421.120315.070620.0219.wav,968.85,danielle
0421.120315.070620.0220,/0421.120315.070620.0220.wav,1032.09,catherine
0421.120315.070620.0221,/0421.120315.070620.0221.wav,1066.47,victoria
0421.120315.070620.0222,/0421.120315.070620.0222.wav,1079.66,julian
0421.120315.070620.0223,/0421.120315.070620.0223.wav,1187.4,mark anthony
0421.120315.070620.0224,/0421.120315.070620.0224.wav,800.3,dominic
0421.120315.070620.0225,/0421.120315.070620.0225.wav,899.51,michael
0421.120315.070620.0226,/0421.120315.070620.0226.wav,947.06,richard
0421.120315.070620.0227,/0421.120315.070620.0227.wav,1099.87,maverick
0421.120315.070620.0228,/0421.120315.070620.0228.wav,920.96,daniel
0421.120315.070620.0229,/0421.120315.070620.0229.wav,966.35,ralph
0421.120315.070620.0230,/0421.120315.070620.0230.wav,1020.96,ronald
0421.120315.070620.0231,/0421.120315.070620.0231.wav,1009.46,arnold
0421.120315.070620.0232,/0421.120315.070620.0232.wav,859.85,jay
0421.120315.070620.0233,/0421.120315.070620.0233.wav,807.19,paulo
0421.120315.070620.0234,/0421.120315.070620.0234.wav,788.85,pablo
0421.120315.070620.0235,/0421.120315.070620.0235.wav,830.39,jay
0421.120315.070620.0236,/0421.120315.070620.0236.wav,1112.82,maverick
0421.120315.070620.0237,/0421.120315.070620.0237.wav,962.59,martin
0421.120315.070620.0238,/0421.120315.070620.0238.wav,972.07,ariel
0421.120315.070620.0239,/0421.120315.070620.0239.wav,1025.13,rafael
0421.120315.070620.0240,/0421.120315.070620.0240.wav,900.53,rommel
0421.120315.070620.0241,/0421.120315.070620.0241.wav,960.78,ronald
0421.120315.070620.0242,/0421.120315.070620.0242.wav,787.85,fred
0421.120315.070620.0243,/0421.120315.070620.0243.wav,1008.74,stephen
0421.120315.070620.0244,/0421.120315.070620.0244.wav,1049.23,enrico
0421.120315.070620.0245,/0421.120315.070620.0245.wav,929.3,angelo
0421.120315.070620.0246,/0421.120315.070620.0246.wav,967.1,ocampo 
0421.120315.070620.0247,/0421.120315.070620.0247.wav,1256.83,delos reyes
0421.120315.070620.0248,/0421.120315.070620.0248.wav,1263.2,del rosario
0421.120315.070620.0249,/0421.120315.070620.0249.wav,1002.54,bayona
0421.120315.070620.0250,/0421.120315.070620.0250.wav,1132.54,inglatera
0421.120315.070620.0251,/0421.120315.070620.0251.wav,1139.98,santos 
0421.120315.070620.0252,/0421.120315.070620.0252.wav,1092.0,alemanya
0421.120315.070620.0253,/0421.120315.070620.0253.wav,970.89,cajote
0421.120315.070620.0254,/0421.120315.070620.0254.wav,911.32,cajote
0421.120315.070620.0255,/0421.120315.070620.0255.wav,1108.83,singapore
0421.120315.070620.0256,/0421.120315.070620.0256.wav,1014.47,torres 
0421.120315.070620.0257,/0421.120315.070620.0257.wav,1279.51,delos reyes
0421.120315.070620.0258,/0421.120315.070620.0258.wav,1400.28,ikabiente-singko
0421.120315.070620.0259,/0421.120315.070620.0259.wav,1759.62,ikatatlumpu't walong
0421.120315.070620.0261,/0421.120315.070620.0261.wav,1872.25,ikatatlumpu't tatlong
0421.120315.070620.0262,/0421.120315.070620.0262.wav,1064.63,ikasiyam
0421.120315.070620.0263,/0421.120315.070620.0263.wav,1498.96,ikabiente-tres
0421.120315.070620.0264,/0421.120315.070620.0264.wav,978.28,ikatulo
0421.120315.070620.0265,/0421.120315.070620.0265.wav,1517.87,ikadisisais
0421.120315.070620.0266,/0421.120315.070620.0266.wav,976.47,ikapito 
0421.120315.070620.0267,/0421.120315.070620.0267.wav,1379.71,ika-uno-syento
0421.120315.070620.0268,/0421.120315.070620.0268.wav,1448.74,ikabiente-tres
0421.120315.070620.0269,/0421.120315.070620.0269.wav,1368.98,ika-uno-syento
0421.120315.070620.0270,/0421.120315.070620.0270.wav,1410.35,ika-uno-syento
0421.120315.070620.0271,/0421.120315.070620.0271.wav,987.13,ikatulo
0421.120315.070620.0272,/0421.120315.070620.0272.wav,1526.04,ika-trienta-otso
0421.120315.070620.0273,/0421.120315.070620.0273.wav,1722.41,ikatatlumpu't walong
0421.120315.070620.0274,/0421.120315.070620.0274.wav,1521.46,ikabiente-syete
0421.120315.070620.0275,/0421.120315.070620.0275.wav,1467.47,ikabiente-kwatro 
0421.120315.070620.0276,/0421.120315.070620.0276.wav,1531.37,ikabiente-sais
0421.120315.070620.0277,/0421.120315.070620.0277.wav,751.46,kada
0421.120315.070620.0278,/0421.120315.070620.0278.wav,859.66,kining
0421.120315.070620.0279,/0421.120315.070620.0279.wav,1378.98,matag panahon
0421.120315.070620.0280,/0421.120315.070620.0280.wav,902.27,sabado
0421.120315.070620.0281,/0421.120315.070620.0281.wav,1006.76,usa nga
0421.120315.070620.0282,/0421.120315.070620.0282.wav,1070.53,makahuman
0421.120315.070620.0283,/0421.120315.070620.0283.wav,752.5,unya
0421.120315.070620.0284,/0421.120315.070620.0284.wav,865.52,karung
0421.120315.070620.0285,/0421.120315.070620.0285.wav,1101.0,samtang
0421.120315.070620.0286,/0421.120315.070620.0286.wav,895.4,midya
0421.120315.070620.0287,/0421.120315.070620.0287.wav,1883.7,tulo ka adlaw gikan karon
0421.120315.070620.0288,/0421.120315.070620.0288.wav,1179.53,pagkabuntag
0421.120315.070620.0289,/0421.120315.070620.0289.wav,1259.32,banagbanag
0421.120315.070620.0290,/0421.120315.070620.0290.wav,1057.78,nubyembre
0421.120315.070620.0291,/0421.120315.070620.0291.wav,1157.85,taud-tauron
0421.120315.070620.0292,/0421.120315.070620.0292.wav,766.74,udto
0421.120315.070620.0293,/0421.120315.070620.0293.wav,2070.8,usa ka adlaw sukad gahapon
0421.120315.070620.0294,/0421.120315.070620.0294.wav,914.09,bulang
0421.120315.070620.0295,/0421.120315.070620.0295.wav,902.73,buntag
0421.120315.070620.0296,/0421.120315.070620.0296.wav,925.29,talagsa
0421.120315.070620.0297,/0421.120315.070620.0297.wav,1098.01,taud-taud
0421.120315.070620.0298,/0421.120315.070620.0298.wav,2024.25,usa ka adlaw sukad gahapon
0421.120315.070620.0299,/0421.120315.070620.0299.wav,971.25,udto nga
0421.120315.070620.0300,/0421.120315.070620.0300.wav,821.91,hunyo
0421.120315.070620.0301,/0421.120315.070620.0301.wav,873.77,kinse
0421.120315.070620.0302,/0421.120315.070620.0302.wav,1215.06,sagunson
0421.120315.070620.0303,/0421.120315.070620.0303.wav,1049.62,taud-taud
0421.120315.070620.0304,/0421.120315.070620.0304.wav,1170.28,kaadlawon
0421.120315.070620.0305,/0421.120315.070620.0305.wav,928.3,sabado
0421.120315.070620.0306,/0421.120315.070620.0306.wav,916.94,kini nga
0421.120315.070620.0308,/0421.120315.070620.0308.wav,1660.12,gahapon sa kagabi-i
0421.120315.070620.0309,/0421.120315.070620.0309.wav,959.89,karun nga
0421.120315.070620.0310,/0421.120315.070620.0310.wav,1051.05,ting-ulan
0421.120315.070620.0311,/0421.120315.070620.0311.wav,1068.3,magapnod
0421.120315.070620.0312,/0421.120315.070620.0312.wav,1090.59,mahangin
0421.120315.070620.0313,/0421.120315.070620.0313.wav,1268.19,temperatura
0421.120315.070620.0314,/0421.120315.070620.0314.wav,1089.03,adlawon
0421.120315.070620.0315,/0421.120315.070620.0315.wav,1285.38,tingpamulak
0421.120315.070620.0316,/0421.120315.070620.0316.wav,1284.47,alimpulos
0421.120315.070620.0317,/0421.120315.070620.0317.wav,889.12,ting-uga
0421.120315.070620.0318,/0421.120315.070620.0318.wav,1002.36,hangin
0421.120315.070620.0319,/0421.120315.070620.0319.wav,1288.03,tingpamulak
0421.120315.070620.0320,/0421.120315.070620.0320.wav,1218.35,temperatura
0421.120315.070620.0321,/0421.120315.070620.0321.wav,1338.71,kapanganuran
0421.120315.070620.0322,/0421.120315.070620.0322.wav,1453.38,kusog sa hangin
0421.120315.070620.0323,/0421.120315.070620.0323.wav,1196.2,magapnod
0421.120315.070620.0324,/0421.120315.070620.0324.wav,1372.86,asa kamo nagpuyo?
0421.120315.070620.0325,/0421.120315.070620.0325.wav,3349.57,nangayo si inday fe ug kwarta sa iyang manay flora.
0421.120315.070620.0326,/0421.120315.070620.0326.wav,2157.13,gihigugma ko kaayo ikaw.
0421.120315.070620.0327,/0421.120315.070620.0327.wav,1588.87,ayaw na pagtagad.
0421.120315.070620.0328,/0421.120315.070620.0328.wav,3110.66,si undo lino ang kamanghuran sa among pamilya.
0421.120315.070620.0329,/0421.120315.070620.0329.wav,1129.6,tagpila ni?
0421.120315.070620.0330,/0421.120315.070620.0330.wav,3145.4,si undo lino ang kamanghuran sa among pamilya.
0421.120315.070620.0331,/0421.120315.070620.0331.wav,1709.51,maayong buntag kaninyo.
0421.120315.070620.0332,/0421.120315.070620.0332.wav,1283.75,asa ka moadto?
0421.120315.070620.0333,/0421.120315.070620.0333.wav,1579.57,daghan ka bang himuon?
0421.120315.070620.0335,/0421.120315.070620.0335.wav,1542.16,pasensya na kaninyo.
0421.120315.070620.0336,/0421.120315.070620.0336.wav,2683.7,nahuman na si dodong leo sa iyang pagtuon. 
0421.120315.070620.0337,/0421.120315.070620.0337.wav,3205.08,si inday flora ang among kamagulangan sa among pamilya.
0421.120315.070620.0338,/0421.120315.070620.0338.wav,1731.16,unsa ang inyong pangalan?
0421.120315.070620.0339,/0421.120315.070620.0339.wav,1418.49,asa kamo nagpuyo?
0421.120315.070620.0340,/0421.120315.070620.0340.wav,2636.85,gipakaon ni inday fe ang iyang inahan.
0421.120315.070620.0341,/0421.120315.070620.0341.wav,1331.14,magamping ka.
0421.120315.070620.0342,/0421.120315.070620.0342.wav,1051.16,mouna ka na.
0421.120315.070620.0343,/0421.120315.070620.0343.wav,1319.62,maayung gabii.
0421.120315.070620.0345,/0421.120315.070620.0345.wav,2376.2,ikadasig ko kamong makauban.
0421.120315.070620.0346,/0421.120315.070620.0346.wav,1328.87,daghang salamat.
0421.120315.070620.0348,/0421.120315.070620.0348.wav,1737.26,mabuhi ang bag-ong kasal!
0421.120315.070620.0349,/0421.120315.070620.0349.wav,1355.33,walay sapayan.
0421.120315.070620.0350,/0421.120315.070620.0350.wav,1339.96,gibati ko kamo.
0421.120315.070620.0351,/0421.120315.070620.0351.wav,1279.51,maayung gabii.
0421.120315.070620.0352,/0421.120315.070620.0352.wav,1253.45,daghang salamat.
0421.120315.070620.0353,/0421.120315.070620.0353.wav,2308.42,panalangini ka sa ginoo.
0421.120315.070620.0355,/0421.120315.070620.0355.wav,2550.55,ikapasidungog ko kamong makaila.
0421.120315.070620.0356,/0421.120315.070620.0356.wav,1287.31,maayung buntag.
0421.120315.070620.0357,/0421.120315.070620.0357.wav,3768.51,dawaata ninyo ang among kinasingkasing nga pasalamat
0421.120315.070620.0358,/0421.120315.070620.0358.wav,1417.24,gibati ko ikaw.
0421.120315.070620.0359,/0421.120315.070620.0359.wav,1764.72,maayung adlaw sa ilaha.
0421.120315.070620.0360,/0421.120315.070620.0360.wav,1329.12,gibati ko kamo.
0421.120315.070620.0361,/0421.120315.070620.0361.wav,1592.61,mamalihog ko kaninyo.
0421.120315.070620.0362,/0421.120315.070620.0362.wav,1557.06,kanus-a siya molakaw?
0421.120315.070620.0364,/0421.120315.070620.0364.wav,2845.49,kanus-a magkita sa balay sila ni ronald?
0421.120315.070620.0366,/0421.120315.070620.0366.wav,2069.73,pila ang motambong sa tigum?
0421.120315.070620.0367,/0421.120315.070620.0367.wav,2004.22,dili ba anaa ka'y sakit?
0421.120315.070620.0368,/0421.120315.070620.0368.wav,1340.59,motugtug  ba siya?
0421.120315.070620.0369,/0421.120315.070620.0369.wav,1770.62,estudyante ba si michael
0421.120315.070620.0370,/0421.120315.070620.0370.wav,1929.03,nawagtang ba ang butang niya?
0421.120315.070620.0371,/0421.120315.070620.0371.wav,2285.72,si michael ba o si james ang mokanta?
0421.120315.070620.0372,/0421.120315.070620.0372.wav,1162.2,nikaon ba siya?
0421.120315.070620.0374,/0421.120315.070620.0374.wav,1629.73,"wala siya mokaon, unsa?"
0421.120315.070620.0375,/0421.120315.070620.0375.wav,1651.93,kinsa ang imong kauban?
0421.120315.070620.0377,/0421.120315.070620.0377.wav,3019.96,kanus-a magkita sa balay sila ni ronald?
